person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,probability_of_default,risk_segment
25,120000,Rent,2.0,Venture,A,32000,6.62,0,0.27,N,2,0.02,Low Risk
26,95000,Rent,7.0,Home Improvement,C,31050,14.17,1,0.33,Y,3,0.94,High Risk
25,306000,Rent,2.0,Debt Consolidation,C,24250,13.85,0,0.08,N,3,0.01,Low Risk
26,300000,Mortgage,10.0,Medical,C,7800,13.49,0,0.03,N,4,0.03,Low Risk
21,12000,Own,5.0,Education,A,2500,7.51,1,0.21,N,4,0.97,High Risk
22,48000,Rent,1.0,Education,E,30000,18.39,1,0.63,N,2,0.98,High Risk
24,64000,Rent,8.0,Debt Consolidation,D,30000,14.54,1,0.47,Y,3,1.0,High Risk
25,75000,Rent,4.0,Home Improvement,D,30000,16.89,1,0.4,Y,4,0.95,High Risk
26,62050,Rent,6.0,Medical,E,30000,17.99,1,0.41,N,2,1.0,High Risk
24,12000,Own,4.0,Venture,B,2500,12.69,1,0.21,N,3,0.97,High Risk
26,300000,Mortgage,10.0,Venture,A,20000,7.88,0,0.07,N,4,0.0,Low Risk
23,300000,Own,1.0,Education,F,24250,19.41,0,0.08,Y,2,0.16,Low Risk
26,300000,Own,9.0,Home Improvement,B,10000,10.38,0,0.03,N,4,0.0,Low Risk
26,300000,Mortgage,0.0,Education,D,25000,15.33,0,0.08,N,3,0.03,Low Risk
25,300000,Mortgage,9.0,Home Improvement,E,18000,16.45,0,0.06,N,3,0.16,Low Risk
26,80690,Rent,8.0,Personal,A,30000,7.49,1,0.37,N,3,0.96,High Risk
22,66300,Rent,4.0,Medical,B,30000,12.69,1,0.38,N,3,0.97,High Risk
26,89028,Rent,0.0,Debt Consolidation,A,30000,6.62,1,0.34,N,3,0.97,High Risk
23,78000,Rent,7.0,Debt Consolidation,F,30000,18.62,1,0.38,Y,3,0.97,High Risk
23,92004,Rent,6.0,Personal,C,30000,15.23,1,0.33,Y,3,0.91,High Risk
23,97000,Rent,7.0,Venture,B,30000,10.65,1,0.31,N,2,0.97,High Risk
25,120000,Rent,9.0,Education,A,30000,7.9,0,0.25,N,4,0.03,Low Risk
26,280000,Rent,4.0,Personal,C,10000,15.96,0,0.04,Y,3,0.02,Low Risk
26,277104,Rent,0.0,Venture,B,20000,11.48,0,0.07,N,3,0.0,Low Risk
25,128000,Rent,9.0,Personal,A,30000,7.29,0,0.23,N,4,0.02,Low Risk
21,131000,Rent,0.0,Venture,A,30000,5.99,0,0.23,N,4,0.01,Low Risk
22,275000,Own,6.0,Venture,B,12000,11.58,0,0.04,N,2,0.0,Low Risk
25,221850,Mortgage,9.0,Medical,D,25000,15.7,1,0.1,N,2,0.99,High Risk
22,70000,Rent,6.0,Education,D,29100,15.99,1,0.42,N,3,0.97,High Risk
22,12000,Mortgage,7.0,Education,D,1500,14.84,0,0.13,Y,3,0.24,Medium Risk
26,260000,Own,10.0,Home Improvement,B,28000,10.99,0,0.11,N,3,0.0,Low Risk
25,259000,Mortgage,9.0,Home Improvement,D,20000,14.42,0,0.08,Y,2,0.13,Low Risk
24,255000,Mortgage,9.0,Education,A,9600,6.99,0,0.04,N,2,0.0,Low Risk
25,250000,Rent,2.0,Medical,C,25000,13.49,0,0.1,N,4,0.02,Low Risk
21,12000,Own,6.0,Education,C,3000,13.61,1,0.25,Y,3,0.91,High Risk
23,65000,Rent,2.0,Education,A,28000,7.9,1,0.43,N,2,0.97,High Risk
26,85000,Rent,2.0,Venture,A,28000,7.49,1,0.33,N,3,0.98,High Risk
26,12000,Own,2.0,Education,A,6100,7.51,1,0.51,N,3,0.98,High Risk
22,88000,Rent,6.0,Venture,B,28000,9.91,1,0.32,N,3,0.97,High Risk
21,12000,Own,0.0,Personal,C,4200,13.48,1,0.35,Y,4,0.97,High Risk
22,12000,Own,6.0,Debt Consolidation,A,4750,7.14,1,0.4,N,2,0.97,High Risk
24,83004,Rent,0.0,Venture,D,28000,15.99,1,0.34,Y,4,0.97,High Risk
24,250000,Rent,2.0,Education,C,18000,12.98,0,0.07,Y,3,0.02,Low Risk
25,100000,Rent,5.0,Debt Consolidation,B,28000,12.69,0,0.28,N,3,0.08,Low Risk
26,110000,Rent,10.0,Education,A,28000,8.9,0,0.25,N,2,0.03,Low Risk
23,151200,Rent,7.0,Debt Consolidation,B,28000,11.11,0,0.19,N,2,0.04,Low Risk
21,12000,Mortgage,5.0,Debt Consolidation,E,3250,15.68,1,0.27,Y,3,0.97,High Risk
22,70000,Rent,4.0,Education,C,27500,13.06,1,0.39,Y,3,0.94,High Risk
26,73200,Rent,5.0,Venture,D,27050,15.62,1,0.37,Y,2,0.98,High Risk
24,83000,Rent,5.0,Personal,C,27000,13.49,1,0.33,Y,2,0.92,High Risk
23,62500,Rent,7.0,Medical,B,26000,11.71,1,0.42,N,2,0.98,High Risk
23,120000,Rent,1.0,Education,B,25600,12.69,0,0.21,N,3,0.03,Low Risk
24,12360,Own,2.0,Medical,C,1600,13.57,0,0.13,N,3,0.07,Low Risk
22,60000,Rent,0.0,Venture,B,25475,10.99,1,0.42,N,3,0.99,High Risk
25,234000,Mortgage,3.0,Medical,C,20000,14.27,0,0.09,Y,4,0.01,Low Risk
24,234000,Own,8.0,Home Improvement,B,20000,8.88,0,0.09,N,4,0.0,Low Risk
26,234000,Mortgage,10.0,Home Improvement,B,21600,12.18,0,0.09,N,3,0.04,Low Risk
25,221004,Mortgage,6.0,Debt Consolidation,D,11900,14.42,1,0.05,Y,3,0.89,High Risk
26,232500,Mortgage,0.0,Medical,C,25000,14.17,0,0.11,Y,2,0.04,Low Risk
25,230000,Mortgage,5.0,Medical,C,35000,13.99,0,0.15,N,4,0.03,Low Risk
23,83000,Rent,7.0,Education,B,25300,10.99,1,0.3,N,3,0.71,High Risk
25,12600,Own,3.0,Personal,C,1750,13.61,0,0.14,N,3,0.08,Low Risk
21,42500,Rent,3.0,Education,C,25000,12.73,1,0.59,Y,3,0.96,High Risk
25,12816,Own,0.0,Debt Consolidation,C,3000,12.87,1,0.23,Y,4,0.97,High Risk
24,12960,Mortgage,1.0,Home Improvement,B,3650,9.91,1,0.28,N,3,0.94,High Risk
26,226000,Mortgage,4.0,Home Improvement,B,20000,11.49,0,0.09,N,4,0.03,Low Risk
25,225000,Mortgage,0.0,Home Improvement,E,30000,19.91,0,0.13,Y,2,0.09,Low Risk
26,213000,Mortgage,6.0,Education,B,35000,10.65,1,0.16,N,2,0.63,High Risk
24,12960,Mortgage,0.0,Debt Consolidation,B,4500,11.83,1,0.35,N,4,0.97,High Risk
23,12996,Own,0.0,Debt Consolidation,C,2400,13.49,1,0.18,Y,2,0.87,High Risk
22,42000,Rent,6.0,Medical,D,25000,14.59,1,0.6,Y,2,1.0,High Risk
26,48000,Rent,2.0,Education,B,25000,9.64,1,0.52,N,4,1.0,High Risk
25,12996,Own,1.0,Medical,D,3600,14.59,1,0.28,N,3,0.9,High Risk
25,42360,Rent,1.0,Education,E,25000,16.35,1,0.59,Y,3,0.99,High Risk
21,49000,Rent,4.0,Education,B,25000,10.99,1,0.51,N,2,0.97,High Risk
25,225000,Mortgage,0.0,Venture,F,25000,18.67,0,0.11,N,2,0.2,Medium Risk
26,225000,Rent,1.0,Education,A,3000,9.32,0,0.01,N,4,0.06,Low Risk
23,225000,Rent,8.0,Debt Consolidation,A,7500,8.63,0,0.03,N,2,0.04,Low Risk
26,225000,Mortgage,2.0,Venture,B,25000,10.08,0,0.11,N,2,0.0,Low Risk
22,49464,Rent,5.0,Personal,B,25000,11.83,1,0.51,N,3,0.99,High Risk
23,50000,Rent,1.0,Debt Consolidation,A,25000,7.9,1,0.5,N,3,1.0,High Risk
25,50000,Rent,4.0,Home Improvement,A,25000,5.99,1,0.5,N,2,0.97,High Risk
24,44000,Rent,2.0,Debt Consolidation,D,25000,15.33,1,0.57,N,2,1.0,High Risk
23,50000,Rent,1.0,Venture,B,25000,11.83,1,0.5,N,4,0.99,High Risk
22,50004,Rent,0.0,Venture,B,25000,10.36,1,0.5,N,2,1.0,High Risk
22,50004,Rent,3.0,Venture,C,25000,12.23,1,0.5,N,3,1.0,High Risk
22,52000,Rent,2.0,Education,B,25000,11.11,1,0.48,N,4,0.99,High Risk
23,13200,Own,3.0,Debt Consolidation,A,4950,7.9,1,0.38,N,4,0.96,High Risk
24,220000,Mortgage,1.0,Education,B,25000,11.58,0,0.11,N,2,0.1,Low Risk
23,216000,Mortgage,5.0,Debt Consolidation,A,21000,8.9,0,0.1,N,3,0.02,Low Risk
25,216000,Mortgage,2.0,Education,D,25000,16.07,0,0.12,N,3,0.04,Low Risk
26,216000,Mortgage,10.0,Education,C,20000,14.22,0,0.09,Y,2,0.03,Low Risk
23,215000,Mortgage,7.0,Medical,C,35000,14.79,0,0.16,Y,3,0.05,Low Risk
26,215000,Mortgage,11.0,Education,A,12000,7.88,0,0.06,N,2,0.02,Low Risk
23,52000,Rent,1.0,Personal,C,25000,13.22,1,0.48,N,2,1.0,High Risk
26,46000,Rent,2.0,Debt Consolidation,D,25000,11.86,1,0.54,N,4,0.97,High Risk
22,53000,Rent,5.0,Education,C,25000,13.43,1,0.47,Y,4,0.99,High Risk
26,47000,Rent,0.0,Home Improvement,D,25000,15.28,1,0.53,Y,2,1.0,High Risk
23,47000,Rent,1.0,Venture,E,25000,17.93,1,0.53,N,2,1.0,High Risk
23,13200,Mortgage,2.0,Education,B,1400,9.25,0,0.11,N,4,0.05,Low Risk
21,13200,Own,0.0,Venture,C,4500,12.98,1,0.34,N,4,0.95,High Risk
22,210000,Mortgage,6.0,Venture,B,16000,10.62,0,0.08,N,4,0.0,Low Risk
26,210000,Own,10.0,Personal,B,22000,11.83,0,0.1,N,4,0.0,Low Risk
26,48000,Rent,5.0,Venture,F,25000,18.43,1,0.52,N,2,0.97,High Risk
23,55000,Rent,4.0,Education,B,25000,11.36,1,0.45,N,3,1.0,High Risk
23,55000,Rent,4.0,Education,D,25000,15.65,1,0.45,Y,3,0.96,High Risk
24,55164,Rent,8.0,Personal,C,25000,13.22,1,0.45,Y,4,0.95,High Risk
26,56000,Rent,4.0,Debt Consolidation,C,25000,12.87,1,0.45,N,2,1.0,High Risk
24,203500,Own,8.0,Medical,C,20000,13.04,0,0.1,N,3,0.01,Low Risk
23,190000,Mortgage,5.0,Education,F,22000,17.58,1,0.12,Y,3,0.78,High Risk
23,13920,Own,2.0,Personal,E,7750,17.04,1,0.56,N,4,0.93,High Risk
24,60000,Rent,0.0,Personal,B,25000,10.99,1,0.42,N,3,1.0,High Risk
24,60000,Rent,2.0,Personal,B,25000,11.11,1,0.42,N,3,1.0,High Risk
26,54000,Rent,7.0,Debt Consolidation,D,25000,14.83,1,0.46,Y,2,1.0,High Risk
24,200000,Rent,8.0,Medical,B,12000,12.69,0,0.06,N,2,0.03,Low Risk
24,200000,Mortgage,8.0,Home Improvement,C,12000,13.49,0,0.06,N,2,0.04,Low Risk
21,200000,Mortgage,5.0,Education,C,16000,14.65,0,0.08,N,4,0.02,Low Risk
25,54000,Rent,3.0,Home Improvement,E,25000,16.82,1,0.46,N,4,0.98,High Risk
23,60000,Rent,3.0,Personal,C,25000,12.73,1,0.42,N,3,0.98,High Risk
23,60000,Rent,7.0,Personal,B,25000,10.25,1,0.42,N,4,0.99,High Risk
21,60000,Rent,6.0,Education,B,25000,10.99,1,0.42,N,4,0.98,High Risk
25,61959,Rent,9.0,Medical,C,25000,12.73,1,0.4,N,2,1.0,High Risk
22,56400,Rent,2.0,Home Improvement,D,25000,14.96,1,0.44,Y,3,0.98,High Risk
21,200000,Mortgage,2.0,Debt Consolidation,C,25000,13.99,0,0.13,N,2,0.0,Low Risk
24,200000,Mortgage,3.0,Venture,A,24000,7.49,0,0.12,N,4,0.0,Low Risk
26,200000,Mortgage,4.0,Education,C,15000,14.79,0,0.07,N,3,0.03,Low Risk
25,200000,Mortgage,2.0,Debt Consolidation,B,15500,11.99,0,0.08,N,2,0.01,Low Risk
24,200000,Rent,8.0,Education,A,10000,8.49,0,0.05,N,4,0.01,Low Risk
24,66000,Rent,3.0,Education,B,25000,9.91,1,0.38,N,2,1.0,High Risk
22,66000,Rent,6.0,Education,C,25000,13.06,1,0.38,Y,3,0.94,High Risk
22,200000,Mortgage,6.0,Debt Consolidation,A,9000,6.17,0,0.04,N,4,0.0,Low Risk
25,200000,Rent,5.0,Education,D,18000,16.32,0,0.09,N,3,0.09,Low Risk
25,200000,Mortgage,2.0,Venture,B,12000,10.38,0,0.06,N,2,0.0,Low Risk
25,200000,Mortgage,9.0,Personal,C,23050,14.35,0,0.12,N,3,0.03,Low Risk
26,66996,Rent,10.0,Personal,D,25000,15.21,1,0.37,Y,2,0.99,High Risk
23,67000,Rent,3.0,Education,A,25000,7.9,1,0.37,N,4,0.99,High Risk
24,67000,Rent,2.0,Venture,B,25000,10.99,1,0.37,N,3,0.97,High Risk
24,68000,Rent,5.0,Personal,D,25000,14.09,1,0.37,Y,3,0.93,High Risk
25,69000,Rent,9.0,Personal,D,25000,17.49,1,0.36,N,2,0.98,High Risk
25,200000,Mortgage,0.0,Education,B,12000,11.48,0,0.06,N,3,0.02,Low Risk
26,188000,Mortgage,10.0,Venture,E,20000,17.74,1,0.11,N,2,0.71,High Risk
26,200000,Mortgage,4.0,Personal,C,3000,13.92,0,0.01,N,3,0.02,Low Risk
25,69996,Rent,9.0,Education,D,25000,15.21,1,0.36,N,3,0.97,High Risk
22,14400,Own,2.0,Medical,B,4000,10.99,1,0.28,N,3,0.95,High Risk
24,70000,Rent,3.0,Education,B,25000,11.86,1,0.36,N,4,1.0,High Risk
24,14400,Own,5.0,Personal,A,6000,7.49,1,0.42,N,3,0.98,High Risk
24,56100,Rent,7.0,Medical,D,25000,16.49,1,0.38,N,4,1.0,High Risk
25,66000,Rent,9.0,Venture,D,25000,15.33,1,0.38,Y,2,0.96,High Risk
26,66000,Rent,3.0,Home Improvement,B,25000,11.58,1,0.38,N,4,1.0,High Risk
25,14400,Own,7.0,Education,A,5375,5.79,1,0.37,N,2,0.95,High Risk
25,72612,Rent,9.0,Medical,C,25000,13.11,1,0.34,N,2,0.98,High Risk
23,74000,Rent,3.0,Medical,B,25000,10.36,1,0.34,N,3,0.99,High Risk
25,75000,Rent,9.0,Debt Consolidation,B,25000,10.36,1,0.33,N,2,0.97,High Risk
25,191000,Mortgage,1.0,Medical,B,10000,12.53,0,0.05,N,4,0.03,Low Risk
24,75000,Rent,4.0,Education,B,25000,10.25,1,0.33,N,4,0.98,High Risk
22,71000,Rent,1.0,Education,D,25000,15.95,1,0.35,Y,4,0.96,High Risk
26,190000,Mortgage,3.0,Venture,B,20000,12.18,0,0.11,N,4,0.0,Low Risk
23,189996,Own,0.0,Personal,B,24000,11.83,0,0.13,N,3,0.0,Low Risk
23,78000,Rent,1.0,Venture,B,25000,10.62,1,0.32,N,3,0.98,High Risk
23,78504,Rent,7.0,Venture,B,25000,10.74,1,0.32,N,3,1.0,High Risk
25,186000,Own,9.0,Venture,B,10000,10.25,0,0.05,N,4,0.0,Low Risk
25,185000,Rent,6.0,Venture,C,15000,15.27,0,0.08,N,2,0.1,Low Risk
24,62050,Rent,8.0,Medical,D,25000,15.33,1,0.34,Y,2,1.0,High Risk
23,79416,Rent,7.0,Venture,D,25000,15.21,1,0.31,Y,2,0.91,High Risk
21,14400,Own,4.0,Venture,C,6250,14.72,1,0.43,N,2,0.93,High Risk
24,79631,Rent,8.0,Personal,D,25000,15.7,1,0.31,Y,2,0.9,High Risk
24,79632,Rent,0.0,Education,C,25000,13.35,1,0.31,N,4,0.99,High Risk
24,80000,Rent,6.0,Education,A,25000,6.62,1,0.31,N,2,0.97,High Risk
26,80000,Rent,5.0,Debt Consolidation,C,25000,13.61,1,0.31,N,4,0.99,High Risk
22,185000,Rent,4.0,Medical,B,25000,11.36,0,0.14,N,2,0.01,Low Risk
26,185000,Own,10.0,Personal,A,5000,7.68,0,0.03,N,2,0.0,Low Risk
24,184992,Rent,7.0,Home Improvement,D,22000,14.46,0,0.12,Y,4,0.08,Low Risk
23,184000,Own,5.0,Education,B,2500,11.83,0,0.01,N,2,0.0,Low Risk
24,172000,Mortgage,6.0,Debt Consolidation,C,20000,13.47,1,0.12,Y,4,0.7,High Risk
24,183000,Mortgage,2.0,Medical,B,20000,11.49,0,0.11,N,3,0.0,Low Risk
25,182952,Mortgage,9.0,Personal,A,15000,6.03,0,0.08,N,3,0.0,Low Risk
23,74004,Rent,7.0,Debt Consolidation,E,25000,16.35,1,0.34,N,4,0.96,High Risk
25,81000,Rent,5.0,Debt Consolidation,A,25000,7.29,1,0.31,N,3,0.99,High Risk
23,81600,Rent,1.0,Medical,B,25000,11.36,1,0.31,N,3,0.99,High Risk
24,82000,Rent,8.0,Venture,B,25000,10.25,0,0.3,N,2,0.01,Low Risk
24,83000,Rent,5.0,Education,B,25000,11.12,0,0.3,N,3,0.16,Low Risk
24,83000,Rent,5.0,Personal,D,25000,12.92,0,0.3,Y,3,0.23,Medium Risk
24,180000,Rent,8.0,Education,E,18000,18.64,0,0.1,Y,4,0.16,Low Risk
23,180000,Mortgage,8.0,Personal,A,28000,7.51,0,0.16,N,3,0.0,Low Risk
23,14400,Own,2.0,Home Improvement,E,4000,16.7,1,0.28,N,2,0.89,High Risk
22,14400,Own,0.0,Personal,B,2100,11.14,0,0.15,N,4,0.08,Low Risk
22,84500,Rent,6.0,Personal,F,25000,18.3,0,0.3,N,4,0.15,Low Risk
24,85000,Rent,5.0,Medical,B,25000,10.62,0,0.29,N,4,0.0,Low Risk
24,180000,Mortgage,7.0,Venture,B,14000,11.99,0,0.08,N,2,0.0,Low Risk
26,180000,Mortgage,2.0,Venture,B,12000,9.63,0,0.07,N,4,0.01,Low Risk
25,142800,Mortgage,9.0,Medical,F,10000,18.25,1,0.06,N,4,0.93,High Risk
24,87000,Rent,8.0,Home Improvement,D,25000,14.84,0,0.29,N,3,0.09,Low Risk
24,75000,Rent,0.0,Venture,E,25000,14.7,1,0.33,Y,3,0.98,High Risk
23,76000,Rent,7.0,Debt Consolidation,D,25000,16.02,1,0.33,N,4,0.98,High Risk
23,66215,Rent,1.0,Medical,D,25000,15.37,1,0.32,Y,2,0.98,High Risk
25,90000,Rent,9.0,Medical,B,25000,10.99,0,0.28,N,4,0.04,Low Risk
21,15000,Own,0.0,Home Improvement,A,6200,7.9,1,0.41,N,2,0.96,High Risk
26,180000,Own,2.0,Personal,B,25000,10.99,0,0.14,N,4,0.01,Low Risk
24,180000,Own,8.0,Education,B,21000,11.48,0,0.12,N,3,0.0,Low Risk
25,180000,Own,9.0,Medical,C,20000,14.26,0,0.11,Y,4,0.0,Low Risk
26,180000,Own,0.0,Home Improvement,A,10000,8.0,0,0.06,N,4,0.0,Low Risk
25,180000,Mortgage,3.0,Venture,B,9950,11.26,0,0.06,N,2,0.0,Low Risk
23,78000,Rent,2.0,Venture,D,25000,16.32,1,0.32,Y,3,0.98,High Risk
25,66300,Rent,3.0,Medical,E,25000,17.93,1,0.32,Y,4,0.99,High Risk
23,90000,Rent,0.0,Debt Consolidation,B,25000,11.36,0,0.28,N,3,0.07,Low Risk
24,79000,Rent,9.0,Debt Consolidation,D,25000,14.96,1,0.32,Y,4,0.95,High Risk
24,91800,Rent,4.0,Personal,C,25000,13.43,0,0.27,Y,3,0.06,Low Risk
25,92000,Rent,6.0,Home Improvement,B,25000,12.69,0,0.27,N,3,0.09,Low Risk
24,92000,Rent,1.0,Venture,C,25000,12.73,0,0.27,Y,4,0.02,Low Risk
23,93600,Rent,3.0,Venture,D,25000,15.21,0,0.27,N,4,0.15,Low Risk
23,15000,Mortgage,1.0,Medical,C,1750,12.68,0,0.12,Y,3,0.1,Low Risk
23,70550,Rent,3.0,Medical,F,25000,19.04,1,0.3,Y,4,0.98,High Risk
25,83800,Rent,2.0,Debt Consolidation,D,25000,15.95,1,0.3,Y,3,0.97,High Risk
26,175000,Mortgage,3.0,Venture,A,2600,8.9,0,0.01,N,4,0.0,Low Risk
25,175000,Mortgage,10.0,Home Improvement,A,8000,7.9,0,0.05,N,2,0.02,Low Risk
23,175000,Mortgage,8.0,Personal,B,21000,11.99,0,0.12,N,3,0.01,Low Risk
23,15000,Own,4.0,Debt Consolidation,C,4000,13.98,1,0.27,N,4,0.95,High Risk
23,15000,Own,4.0,Venture,B,4600,10.99,1,0.31,N,2,0.93,High Risk
22,88000,Rent,6.0,Debt Consolidation,D,25000,15.58,1,0.28,Y,2,0.93,High Risk
25,74800,Rent,2.0,Medical,B,25000,10.99,1,0.28,N,2,0.67,High Risk
25,88000,Rent,0.0,Venture,D,25000,14.96,1,0.28,N,4,0.97,High Risk
25,15000,Own,2.0,Home Improvement,D,1750,15.31,0,0.12,Y,4,0.12,Low Risk
26,88000,Rent,2.0,Venture,D,25000,15.65,1,0.28,N,3,0.95,High Risk
25,100000,Rent,1.0,Venture,B,25000,9.33,0,0.25,N,4,0.0,Low Risk
23,15000,Mortgage,0.0,Personal,C,3600,13.47,1,0.24,N,4,0.94,High Risk
24,102400,Rent,8.0,Personal,B,25000,10.36,0,0.24,N,3,0.04,Low Risk
24,92000,Rent,1.0,Home Improvement,E,25000,16.77,1,0.27,Y,4,0.96,High Risk
23,93000,Rent,0.0,Debt Consolidation,D,25000,14.59,1,0.27,Y,2,0.96,High Risk
22,175000,Rent,6.0,Venture,C,3500,11.91,0,0.02,Y,2,0.08,Low Risk
23,175000,Mortgage,3.0,Education,A,7200,8.38,0,0.04,N,3,0.0,Low Risk
25,174708,Rent,9.0,Venture,B,9000,10.59,0,0.05,N,3,0.0,Low Risk
25,174000,Mortgage,2.0,Debt Consolidation,C,8800,14.27,0,0.05,N,3,0.02,Low Risk
26,174000,Rent,8.0,Debt Consolidation,B,12000,12.53,0,0.07,N,4,0.02,Low Risk
25,162000,Mortgage,5.0,Debt Consolidation,E,25000,16.0,1,0.15,Y,3,0.73,High Risk
26,173467,Mortgage,10.0,Venture,B,10000,11.71,0,0.06,N,4,0.01,Low Risk
21,15000,Own,0.0,Home Improvement,C,3175,11.54,1,0.21,Y,3,0.96,High Risk
25,96000,Rent,2.0,Home Improvement,E,25000,15.68,1,0.26,Y,4,0.95,High Risk
21,15120,Mortgage,0.0,Education,B,1500,10.59,0,0.1,N,2,0.03,Low Risk
24,97908,Rent,8.0,Home Improvement,D,25000,12.61,1,0.26,Y,2,0.77,High Risk
23,15204,Mortgage,7.0,Personal,A,2800,8.49,1,0.18,N,3,0.95,High Risk
25,159600,Rent,0.0,Personal,D,30000,17.27,1,0.19,Y,4,0.93,High Risk
24,171500,Rent,6.0,Debt Consolidation,A,18000,8.9,0,0.1,N,4,0.01,Low Risk
25,170004,Mortgage,3.0,Medical,B,10000,11.11,0,0.06,N,4,0.0,Low Risk
24,158004,Rent,0.0,Home Improvement,D,25000,14.59,1,0.16,Y,2,0.93,High Risk
26,170000,Rent,0.0,Venture,B,13000,12.42,0,0.08,N,3,0.0,Low Risk
24,110000,Rent,7.0,Home Improvement,D,25000,15.7,0,0.23,Y,2,0.23,Medium Risk
22,15360,Own,7.0,Home Improvement,B,2500,12.53,1,0.16,N,3,0.91,High Risk
25,134300,Rent,3.0,Medical,D,5000,16.49,1,0.03,N,2,0.96,High Risk
25,170000,Mortgage,2.0,Education,A,20000,7.49,0,0.12,N,2,0.0,Low Risk
22,100580,Rent,6.0,Debt Consolidation,D,25000,14.96,1,0.25,Y,2,0.96,High Risk
25,113000,Rent,7.0,Medical,C,25000,12.73,0,0.22,Y,4,0.06,Low Risk
24,120000,Rent,8.0,Education,B,25000,10.65,0,0.21,N,4,0.0,Low Risk
25,120000,Rent,6.0,Medical,B,25000,10.74,0,0.21,N,2,0.01,Low Risk
23,120000,Rent,7.0,Education,B,25000,9.99,0,0.21,N,2,0.01,Low Risk
24,91800,Rent,5.0,Medical,D,25000,15.33,1,0.23,Y,2,0.99,High Risk
21,15600,Own,5.0,Venture,A,1000,7.29,0,0.06,N,4,0.06,Low Risk
26,108000,Rent,2.0,Personal,D,25000,15.05,1,0.23,N,3,0.99,High Risk
26,129996,Rent,6.0,Personal,B,25000,10.75,0,0.19,N,3,0.01,Low Risk
23,130000,Rent,4.0,Education,D,25000,16.02,0,0.19,Y,2,0.08,Low Risk
23,130000,Rent,7.0,Venture,B,25000,11.49,0,0.19,N,4,0.0,Low Risk
25,170000,Own,4.0,Education,B,20000,12.53,0,0.12,N,4,0.01,Low Risk
26,170000,Mortgage,0.0,Venture,C,12000,13.57,0,0.07,Y,2,0.01,Low Risk
22,169000,Rent,1.0,Personal,B,14000,11.14,0,0.08,N,3,0.02,Low Risk
26,168750,Rent,10.0,Medical,C,24250,12.87,0,0.14,Y,3,0.07,Low Risk
